Substance Number;Common Name;Chemical Name;CAS Number;DOT Number;SHHS List;synonym;Source 1;CA;CO;MU;TE;F4;F3;F2;R4;R3;R2;R1;Source 2;Source 3;Source 4;Source 5;Source 6;Source 7;Source 8;Source 14;Source 15;Source 17;Source 18;Source 19;Source 20;Source 21;Source 22;non prefix
2355;DINOTERB;PHENOL,2-(1,1-DIMETHYLETHYL)-4,6-DINTRO-;           1420-07-1;2780;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;DINOTERB
2356;p,p'-OXYBIS (BENZENESULFONYL HYDRAZIDE);BENZENESULFONIC ACID, 4,4'-OXYBIS-, DIHYDRAZIDE;             80-51-3;3226;#;;;;;;;;F3;;;;R2;;2;3;;;;;;;;17;;;;;;OXYBISBENZENESULFONYLHYDRAZIDE
2357;DIPHOSPHORAMIDE, OCTAMETHYL-;DIPHOSPHORAMIDE, OCTAMETHYL-;            152-16-9;3018;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;20;21;;DIPHOSPHORAMIDEOCTAMETHYL
2360;HYDRAZINE SULFATE;HYDRAZINE, SULFATE (1:1);          10034-93-2;;#;;;CA;;;;;;;;;;;;;;5;6;;8;;;;18;;;;;HYDRAZINESULFATE
2366;NICKEL COMPOUNDS;;;3077;#;;1;CA;;;;;;;;;;;2;3;4;5;6;7;8;;;17;18;;20;;;NICKELCOMPOUNDS
2367;DITHIAZANINE IODIDE;BENZOTHIAZOLIUM, 3-ETHYL-2-[5-(3-ETHYL-2(3H)-BENZOTHIAZOLYLIDENE)-1,3-PENTADIENYL]-,IODIDE;            514-73-8;;;;;;;;;;;;;;;;;;;;6;;;;;;;19;;;;DITHIAZANINEIODIDE
2368;DITHIOBIURET;THIOIMIDODICARBONIC DIAMIDE ([(H2N)C(S)]2NH);            541-53-7;2771;;;;;;;;;;;;;;;;3;;;6;;;;;17;18;19;20;21;;DITHIOBIURET1
2387;EMETINE, DIHYDROCHLORIDE;2H-BENZO[a]QUINOLIZINE, 3-ETHYL-1,3,4,6,7,11b-HEXAHYDRO-9,10-DIMETHOXY-2-[[(1R)-1,2,3,4-TETRAHYDRO-6,7-DIMETHOXY-1-ISOQUINOLINYL]METHYL]-,DIHYDROCHLORIDE,(2S,3R,11bS)-;            316-42-7;1544;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;EMETINEDIHYDROCHLORIDE
2388;BISPHENOL A;PHENOL, 4,4'-(1-METHYLETHYLIDENE)BIS-;             80-05-7;;;;;;;;;;;F2;;;;;;;;;6;;8;;;;18;;;;;BISPHENOLA
2389;ENDOTHION;PHOSPHOROTHIOIC ACID, S-[(5-METHOXY-4-OXO-4H-PYRAN-2-YL)METHYL]O,O-DIMETHYL ESTER;           2778-04-3;3018;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;ENDOTHION
2391;ERGOCALCIFEROL;9,10-SECOERGOSTA-5,7,10(19),22-TETRAEN-3-OL, (3.beta.,5Z,7E,22E)-;             50-14-6;2811;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;ERGOCALCIFEROL
2392;ERGOTAMINE TARTRATE;ERGOTAMAN-3',6',18-TRIONE, 12'-HYDROXY-2'-METHYL-5'-(PHENYLMETHYL)-, (5'.alpha)-,(2R,3R)-2,3-DIHYDROXYBUTANEDIOATE (2:1) (SALT);            379-79-3;1544;#;;;;;;TE;;;;;;;;;3;;;6;;;;;17;;19;;;;ERGOTAMINETARTRATE
2393;ETHANESULFONYL CHLORIDE,  2-CHLORO-;ETHANESULFONYL CHLORIDE,  2-CHLORO-;           1622-32-8;;;;;;;;;;;;;;;R1;;;;;6;;;;;;;19;;;;ETHANESULFONYLCHLORIDECHLORO
2394;ETHANOL, 1,2-DICHLORO-, ACETATE;ETHANOL, 1,2-DICHLORO-, ACETATE;          10140-87-1;1993;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;ETHANOLDICHLOROACETATE
2395;ETHOPROPHOS;PHOSPHORODITHIOIC ACID, O-ETHYL S,S-DIPROPYL ESTER;          13194-48-4;3018;;;;;;;;;;;;;;;;3;;;6;;;14;;17;18;19;;;;ETHOPROPHOS
2396;ETHYLBIS(2-CHLOROETHYL)AMINE;ETHANAMINE, 2-CHLORO-N-(2-CHLOROETHYL)-N-ETHYL-;            538-07-8;2810;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;ETHYLBISCHLOROETHYLAMINE
2400;ETHYLENE FLUOROHYDRIN;ETHANOL, 2-FLUORO-;            371-62-0;2642;#;;;;;;;;F3;;;;;;;3;;;6;;;;;17;;19;;;;ETHYLENEFLUOROHYDRIN
2402;ETHYL THIOCYANATE;THIOCYANIC ACID, ETHYL ESTER;            542-90-5;2902;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;ETHYLTHIOCYANATE
2414;MERCURY, ALKYL COMPOUNDS;;;2024;;;1;;;;;;;;;;;;2;3;4;;6;;;;;17;18;;20;;;MERCURYALKYLCOMPOUNDS
2421;1,2-DIHYDRO-3,6-PYRIDAZINEDIONE;3,6-PYRIDAZINEDIONE, 1,2-DIHYDRO-;            123-33-1;3077;;;;;;;;;;;;;;;;3;;;;7;8;;;17;;;20;21;;DIHYDROPYRIDAZINEDIONE
2424;beta-CHLORONAPHTHALENE;NAPHTHALENE, 2-CHLORO-;             91-58-7;3077;;;;;;;;;;;;;;;;3;;;6;;8;;;17;;;20;21;;CHLORONAPHTHALENE2
2433;FLUENETIL;[1,1'-BIPHENYL]-4-ACETIC ACID, 2-FLUOROETHYL ESTER;           4301-50-2;2902;;;;;;;;;;;;;;;;;;;6;;;;;;;19;;;;FLUENETIL
2434;FLUOROACETAMIDE;ACETAMIDE, 2-FLUORO-;            640-19-7;2811;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;20;21;;FLUOROACETAMIDE
2435;FLUOROACETYL CHLORIDE;ACETYL CHLORIDE, FLUORO-;            359-06-8;1752;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;FLUOROACETYLCHLORIDE
2439;FORMOTHION;PHOSPHORODITHIOIC ACID, S-[2-(FORMYLMETHYLAMINO)-2-OXOETHYL] O,O-DIMETHYL ESTER;           2540-82-1;3018;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;FORMOTHION
2440;FORMPARANATE;METHANIMIDAMIDE, N,N-DIMETHYL-N'-[2-METHYL-4-[[(METHYLAMINO)CARBONYL]OXY]PHENYL]-;          17702-57-7;2992;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;20;21;;FORMPARANATE
2441;FOSTHIETAN;PHOSPORAMIDIC ACID, 1,3-DITHIETAN-2-YLIDENE-, DIETHYL ESTER;          21548-32-3;3018;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;FOSTHIETAN
2442;FUBERIDAZOLE;1H-BENZIMIDAZOLE, 2-(2-FURANYL)-;           3878-19-1;2902;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;FUBERIDAZOLE
2444;FUEL OILS (LIGHT);;;1202;;;;;;;;;;F2;;;;;2;3;;;6;7;;;15;17;;;;;;FUELOILSLIGHT
2448;GALLIUM TRICHLORIDE;GALLIUM CHLORIDE (GaCl3);          13450-90-3;;#;;;;CO;;;;;;;;;R1;;;;;6;;;;15;;;19;;;;GALLIUMTRICHLORIDE
2453;GLYCEROL-alpha-MONOCHLOROHYDRIN;1,2-PROPANEDIOL, 3-CHLORIO-;             96-24-2;2689;;;;;;;;;;;;;;;;3;;;;;;;;17;;;;;;GLYCEROLMONOCHLOROHYDRIN
2462;HEXAMETHYLENEDIAMINE, N,N'-DIBUTYL-;1,6-HEXANEDIAMINE,N,N'-DIBUTYL-;           4835-11-4;2735;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;HEXAMETHYLENEDIAMINENNDIBUTYL
2463;HEXAMETHYLENEIMINE;1H-AZEPINE, HEXAHYDRO-;            111-49-9;2493;#;;;;;;;;F3;;;;;;;3;;;;;;;;17;;;;;;HEXAMETHYLENEIMINE
2494;ISOBENZAN;4,7-METHANOISOBENZOFURAN, 1,3,4,5,7,8,8-OCTACHLORO-1,3,3a,4,7,7a-HEXAHYDRO-;            297-78-9;2761;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;ISOBENZAN
2499;ISODRIN;1,4:5,8-DIMETHANONAPHTHALENE, 1,2,3,4,10,10-HEXACHLORO-1,4,4a,5,8,8a-HEXAHYDRO-,(1R,4S,4aS,5R,8S,8aR)-rel-;            465-73-6;2761;;;;;;;;;;;;;;;;3;;;6;;;;;17;18;19;20;21;;ISODRIN
2500;ISOFLUORPHATE;PHOSPOROFLUORIDIC ACID, BIS(1-METHYLETHYL) ESTER;             55-91-4;3018;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;20;21;;ISOFLUORPHATE
2504;ISOPROPYL FORMATE;FORMIC ACID, 1-METHYLETHYL ESTER;            625-55-8;1993;#;;;;;;;;F3;;;;;;;3;;;;;;;15;17;;;;;;ISOPROPYLFORMATE
2505;ISOPROPYLMETHYLPYRAZOLYL DIMETHYLCARBAMATE;CARBAMIC ACID, DIMETHYL-,3-METHYL-1-(1-METHYLETHYL)-1H-PYRAZOL-5-YL ESTER;            119-38-0;2992;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;20;21;;ISOPROPYLMETHYLPYRAZOLYLDIMETHYLCARBAMATE
2514;LACTONITRILE;PROPANENITRILE, 2-HYROXY-;             78-97-7;2810;;;;;;;;;;F2;;;;R1;;3;;;6;;;;15;17;;19;;;;LACTONITRILE
2516;LEPTOPHOS;PHOSPHONOTHIOIC ACID, PHENYL-, O-(4-BROMO-2,5-DICHLOROPHENYL) O-METHYL ESTER;          21609-90-5;3018;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;LEPTOPHOS
2517;LEWISITE;ARSONOUS DICHLORIDE, (2-CHLOROETHENYL)-;            541-25-3;3162;;;;;;;;;;;;;;R1;;3;;;6;;;;;17;;19;;;;LEWISITE
2524;MAGNESIUM ALUMINUM PHOSPHIDE;ALUMINUM MAGNESIUM PHOSPHIDE;         134884-20-1;1419;#;;;;;;;;F3;;;;;R1;;3;;;;;;;;17;;;;;;MAGNESIUMALUMINUMPHOSPHIDE
2526;MANGANESE RESINATE;RESIN ACIDS AND ROSIN ACIDS, MANGANESE SALTS;           9008-34-8;1330;#;;;;;;;;F3;;;;;;;3;;;;;;;;17;;;;;;MANGANESERESINATE
2535;MEPHOSFOLAN;PHOSPHORAMIDIC ACID, (4-METHYL-1,3-DITHIOLAN-2-YLIDENE)-,DIETHYL ESTER;            950-10-7;3018;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;MEPHOSFOLAN
2537;MERCURIC OXIDE;MERCURY OXIDE (HgO);          21908-53-2;1641;#;;1;;;;TE;;;;;;;;2;3;4;;6;7;;;;17;18;19;20;;;MERCURICOXIDE
2549;METHACROLEIN DIACETATE;2-PROPENE-1,1-DIOL, 2-METHYL-, DIACETATE;          10476-95-6;;;;;;;;;;;F2;;;;;;;;;6;;;;;;;19;;;;METHACROLEINDIACETATE
2550;METHACRYLIC ANHYDRIDE;2-PROPENOIC ACID, 2-METHYL-, ANHYDRIDE;            760-93-0;2531;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;METHACRYLICANHYDRIDE
2551;METHACRYLOYL CHLORIDE;2-PROPENOYL CHLORIDE, 2-METHYL-;            920-46-7;;#;;;;CO;;;;F3;;;;;R1;;;;;6;;;;;;;19;;;;METHACRYLOYLCHLORIDE
2552;METHACRYLOYLOXYETHYL ISOCYANATE;2-PROPENOIC ACID, 2-METHYL-, 2-ISOCYANATOETHYL ESTER;          30674-80-7;2206;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;METHACRYLOYLOXYETHYLISOCYANATE
2553;METHANESULFONYL FLUORIDE;METHANESULFONYL FLUORIDE;            558-25-8;;#;;;;CO;;;;;;;;;;;;;;6;;;;;;;19;;;;METHANESULFONYLFLUORIDE
2554;METHOXYETHYLMERCURIC ACETATE;MERCURY, (ACETATO-,kappa.O)(2-METHOXYETHYL)-;            151-38-2;2777;;;1;;;;;;;;;;;;2;3;4;;6;;;;;17;18;19;20;;;METHOXYETHYLMERCURICACETATE
2555;METHYL ALUMINUM SESQUIBROMIDE;ALUMINUM, TRIBROMOTRIMETHYLDI-;          12263-85-3;3052;#;;;;;;;F4;;;;R3;;;2;3;4;;;;;;15;17;;;;;;METHYLALUMINUMSESQUIBROMIDE
2556;METHYL-2-CHLOROACRYLATE;2-PROPENOIC ACID, 2-CHLORO-, METHYL ESTER;             80-63-7;2810;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;METHYLCHLOROACRYLATE
2557;METHYL ISOPROPENYL KETONE;3-BUTEN-2-ONE, 3-METHYL-;            814-78-8;1246;#;;;;;;;;F3;;;;;R1;;3;;;;;;;15;17;;;;;;METHYLISOPROPENYLKETONE
2559;METHYL PHENKAPTON;PHOSPORODITHIOIC ACID, S-[[(2,5-DICHLOROPHENYL)THIO]METHYL] O,O-DIMETHYL ESTER;           3735-23-7;2783;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;METHYLPHENKAPTON
2560;METHYL PHOSPHONIC DICHLORIDE;PHOSPHONIC DICHLORIDE, METHYL-;            676-97-1;9206;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;METHYLPHOSPHONICDICHLORIDE
2562;METHYL THIOCYANATE;THIOCYANIC ACID, METHYL ESTER;            556-64-9;1935;;;;;;;;;;F2;;;;R1;;3;;;6;;;;;17;;19;;;22;METHYLTHIOCYANATE
2563;METOLCARB;CARBAMIC ACID, METHYL-, 3-METHYLPHENYL ESTER;           1129-41-5;2757;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;20;21;;METOLCARB
2571;MUSCIMOL;3(2H)-ISOXAZOLONE, 5-(AMINOMETHYL)-;           2763-96-4;3077;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;20;21;;MUSCIMOL
2576;NAPHTHENIC ACID;NAPHTHENIC ACIDS;           1338-24-5;3077;;;;;;;;;;;;;;;;3;;;;;;;;17;;;20;;;NAPHTHENICACID
2582;NICKEL NITRITE;NITROUS ACID, NICKEL(2+) SALT;          17861-62-0;2726;;;1;;;;;;;;;;;;2;3;4;5;6;;8;;;17;18;;20;;;NICKELNITRITE
2583;NICOTINE and SALTS  see Fact Sheet # 1349 on NICOTINE;;;1655;;;;;;;;;;;;;;;;3;;;6;;;;;17;;;;;;NICOTINESALTS
2588;NITROCYCLOHEXANE;CYCLOHEXANE, NITRO-;           1122-60-7;2810;#;;;;;;;;;F2;;;R2;;;3;;;6;;;;15;17;;19;;;;NITROCYCLOHEXANE
2591;NORBORMIDE;4,7-METHANO-1H-ISOINDOLE-1,3(2H)-DIONE, 3a,4,7,7a-TETRAHYDRO-5-(HYDROXYPHENYL-2-PYRIDINYLMETHYL)-8-(PHENYL-2-PYRIDINYLMETHYLENE)-;            991-42-4;2588;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;NORBORMIDE
2611;ORGANORHODIUM COMPLEX;;;2811;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;ORGANORHODIUMCOMPLEX
2617;OUABAIN;CARD-20(22)-ENOLIDE,3-[(6-DEOXY-.alpha.-L-MANNOPYRANOSYL)OXY]-1,5,11,14,19-PENTAHYDROXY-,(1.beta.,3.beta.,5.beta.,11.alpha.)-;            630-60-4;1851;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;OUABAIN
2618;OXAMYL;ETHANIMIDOTHIOIC ACID, 2-(DIMETHYLAMINO)-N-[[(METHYLAMINO)CARBONYL]OXY]-2-OXO,METHYL ESTER;          23135-22-0;2757;;;;;;;;;;;;;;;;;;;6;;8;;;;;19;20;21;;OXAMYL
2619;OXETANE, 3,3-BIS(CHLOROMETHYL);OXETANE, 3,3-BIS(CHLOROMETHYL)-;             78-71-7;;;;;;;;;;;;;;;;;;;;6;;;;;;;19;;;;OXETANEBISCHLOROMETHYL
2625;OXYDISULFOTON;PHOSPHORODITHIOIC ACID, O,O-DIETHYL S-[2-(ETHYLSULFINYL)ETHYL] ESTER;           2497-07-6;2588;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;OXYDISULFOTON
2630;PARAQUAT METHOSULFATE;4,4'-BIPYRIDINIUM,1,1'-DIMETHYL-,BIS(METHYL SULFATE);           2074-50-2;2588;;;1;;;;;;;;;;;;2;3;4;;6;;;14;;17;;19;;;;PARAQUATMETHOSULFATE
2634;PENTADECYLAMINE;1-PENTADECANAMINE;           2570-26-5;3259;#;;;;CO;;;;;;;;;;;3;;;6;;;;;17;;19;;;;PENTADECYLAMINE
2637;PERCHLORIC ACID;PERCHLORIC ACID;           7601-90-3;1873;#;;;;;;;;;;;R3;;;;3;;;;;;;15;17;;;;;;PERCHLORICACID
2648;PETROLEUM DISTILLATES;PETROLEUM;           8002-05-9;1268;#;;1;;;;;;F3;;;;;;;3;4;;;7;;;;17;;;;;;PETROLEUMDISTILLATES1
2651;MOTOR OIL;;;1270;;;;;;;;;;;;;;;;3;;;6;;;;;17;;;;;;MOTOROIL
2653;PHENARSAZIINE OXIDE;10H-PHENOXARSINE, 10,10'-OXYBIS-;             58-36-6;1557;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;PHENARSAZINEOXIDE
2654;PHENOL, 3-(1-METHYLETHYL)-, METHYLCARBAMATE;PHENOL, 3-(1-METHYLETHYL)-, METHYLCARBAMATE;             64-00-6;2757;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;20;21;;PHENOLMETHYLETHYLMETHYLCARBAMATE
2659;PHENYLHYDRAZINE HYDROCHLORIDE;HYDRAZINE, PHENYL-, MONOHYDROCHLORIDE;             59-88-1;2572;;;;;;;;;;F2;;;;;;3;;;6;;;;;17;;19;;;;PHENYLHYDRAZINEHYDROCHLORIDE
2662;PHENYL PHOSPHORUS THIODICHLORIDE;PHOSPHONOTHIOIC DICHLORIDE, PHENYL-;           3497-00-5;2799;#;;;;CO;;;;;;;;;;;3;;;;;;;;17;;;;;;PHENYLPHOSPHORUSTHIODICHLORIDE
2663;PHENYLSILATRANE;2,8,9-TRIOXA-5-AZA-1-SILABICYCLO[3.3.3]UNDECANE, 1-PHENYL-;           2097-19-0;;;;;;;;;;;;;;;;;;;;6;;;;;;;19;;;;PHENYLSILATRANE
2664;PHENYLTHIOUREA;THIOUREA, PHENYL-;            103-85-5;2767;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;20;21;;PHENYLTHIOUREA
2669;PHOSACETIM;PHOSPHORAMIDOTHIOIC ACID, (1-IMINOETHYL)-, O,O-BIS(4-CHLOROPHENYL) ESTER;           4104-14-7;2783;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;PHOSACETIM
2670;PHOSFOLAN;PHOSPHORAMIDIC ACID, 1,3-DITHIOLAN-2-YLIDENE-,DIETHYL ESTER;            947-02-4;2783;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;PHOSFOLAN
2671;PHOSPHONOTHIOIC ACID, METHYL-, O-ETHYL O-(4-(METHYLTHIO)PHENYL) ESTER;PHOSPHONOTHIOIC ACID, METHYL-, O-ETHYL O-[4-(METHYLTHIO)PHENYL] ESTER;           2703-13-1;3018;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;PHOSPHONOTHIOICACIDMETHYLOETHYLOMETHYLTHIOPHENYL ESTER
2672;PHOSPHONOTHIOIC ACID, METHYL-, O-(4-NITROPHENYL) O-PHENYL ESTER;PHOSPHONOTHIOIC ACID, METHYL-, O-(4-NITROPHENYL) O-PHENYL ESTER;           2665-30-7;3018;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;PHOSPHONOTHIOICACIDMETHYLONITROPHENYLOPHENYLESTER
2673;VX;PHOSPHONOTHIOIC ACID, METHYL-, S-[2-[BIS(1-METHYLETHYL) AMINO]ETHYL]O-ETHYL ESTER;          50782-69-9;2810;;;;;;;;;;;;;;R1;;3;;;6;;;;;17;;19;;;;VX
2674;PHOSPHORIC ACID, DIMETHYL 4-(METHYLTHIO)PHENYL ESTER;PHOSPHORIC ACID, DIMETHYL 4-(METHYLTHIO)PHENYL ESTER;           3254-63-5;3018;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;PHOSPHORICACIDDIMETHYLMETHYLTHIOPHENYLESTER
2681;PHYSOSTIGMINE;PYRROLO[2,3-b]INDOL-5-OL,1,2,3,3a,8,8a-HEXAHYDRO-1,3a,8-TRIMETHYL-,METHYLCARBAMATE (ESTER), (3aS,8aR)-;             57-47-6;2757;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;20;21;;PHYSOSTIGMINE
2682;PHYSOSTIGMINE, SALICYLATE (1:1);BENZOIC ACID, 2-HYDROXY-,COMPOUND WITH (3aS,8aR)-1,2,3,3a,8,8a-HEXAHYDRO-1,3a,8-TRIMETHYLPYRROLO[2,3-b]INDOL-5-YL METHYLCARBAMATE (1:1);             57-64-7;2757;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;20;21;;PHYSOSTIGMINESALICYLATE
2684;PINE OIL;OILS, PINE;           8002-09-3;1272;;;;;;;;;;F2;;;;;;3;;;;;;;15;17;;;;;;PINEOIL
2689;PLATINUM TETRACHLORIDE;PLATINUM CHLORIDE (PtCl4), (SP-4-1)-;          13454-96-1;;;;1;;;;;;;;;;;;2;;4;;;;;;;;;;;;;PLATINUMTETRACHLORIDE
2708;POTASSIUM SILVER CYANIDE;ARGENTATE(1-), BIS(CYANO-.kappa.C)-, POTASSIUM;            506-61-6;1588;;;1;;;;;;;;;;;;2;3;4;;6;;8;;;17;18;19;20;21;;POTASSIUMSILVERCYANIDE
2710;PROMECARB;PHENOL, 3-METHYL-5-(1-METHYLETHYL)-, METHYLCARBAMATE;           2631-37-0;2757;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;20;21;;PROMECARB
2711;3-CHLOROPROPIONITRILE;PROPANENITRILE, 3-CHLORO-;            542-76-7;2810;;;;;;;;;;F2;;;;R1;;3;;;6;;;;15;17;18;19;20;21;;CHLOROPROPIONITRILE
2715;PROTHOATE;PHOSPHORODITHIOIC ACID, O,O-DIETHYL S-[2-[(1- METHYLETHYL)AMINO]-2-OXOETHYL] ESTER;           2275-18-5;2783;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;PROTHOATE
2716;PSEUDOCUMENE;BENZENE,1,2,4-TRIMETHYL-;             95-63-6;2325;;;;;;;;;;F2;;;;;2;3;4;;6;;;;15;17;18;;;;;PSEUDOCUMENE
2717;PYRIDINE, 2-METHYL-5-VINYL-;PYRIDINE, 5-ETHENYL-2-METHYL-;            140-76-1;3073;;;;;;;;;;F2;;;;;;3;;;6;;;;;17;;19;;;;PYRIDINEMETHYLVINYL
2718;PYRIDINE, 4-NITRO-, 1-OXIDE;PYRIDINE, 4-NITRO-, 1-OXIDE;           1124-33-0;;;;;;;;;;;;;;;;;;;;6;;;;;;;19;;;;PYRIDINENITROOXIDE
2719;PYRIMINIL;UREA, N-(4-NITROPHENYL)-N'-(3-PYRIDINYLMETHYL)-;          53558-25-1;2588;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;PYRIMINIL
2756;SALCOMINE;COBALT, [[2,2'-[1,2-ETHANEDIYLBIS[(NITRILO-.kappa.N)METHYLIDYNE]]BIS[PHENOLATO-.kappa.O]](2-)]-,(SP-4-2)-;          14167-18-1;;;;;;;;;;;;;;;;;;;;6;;;;;;;19;;;;SALCOMINE
2757;SARIN;PHOSPHONOFLUORIDIC ACID, METHYL-, 1-METHYLETHYL ESTER;            107-44-8;2810;;;;;;;;;;;;;;R1;;3;;;6;;;;;17;;19;;;;SARIN
2762;SELENOUS ACID;SELENIOUS ACID;           7783-00-8;2630;;;1;;;;;;;;;;;;2;3;4;;6;;8;;;17;18;19;20;21;;SELENOUSACID
2765;SEMICARBAZIDE HYDROCHLORIDE;HYDRAZINECARBOXAMIDE, MONOHYDROCHLORIDE;            563-41-7;2811;;;;;;;;;;;;;;;;3;;;6;7;;;;17;;19;;;;SEMICARBAZIDEHYDROCHLORIDE
2768;SILANE, (4-AMINOBUTYL)DIETHOXYMETHYL-;1-BUTANAMINE, 4-(DIETHOXYMETHYLSILYL)-;           3037-72-7;2810;#;;;;CO;;;;;F2;;;;R1;;3;;;6;;;;15;17;;19;;;;SILANEAMINOBUTYLDIETHOXYMETHYL
2780;SODIUM PICRAMATE;PHENOL, 2-AMINO-4,6-DINITRO-, MONOSODIUM SALT;            831-52-7;1349;#;;;;;;;;F3;;;R3;;;;3;;;;;;;;17;;;;;;SODIUMPICRAMATE
2783;SODIUM TELLURITE;TELLURIC ACID (H2TEO3), DISODIUM SALT;          10102-20-2;;;;;;;;;;;;;;;;;;;;6;;;;;;;19;;;;SODIUMTELLURITE
2789;STRYCHNINE, SULFATE;STRYCHNIDIN-10-ONE, SULFATE (2:1);             60-41-3;1692;;;;;;;;;;;;;;;;3;;;6;;;;;17;18;19;20;;;STRYCHNINESULFATE
2795;SULFOXIDE, 3-CHLOROPROPYL OCTYL;OCTANE, 1-[(3-CHLOROPROPYL)SULFINYL]-;           3569-57-1;;;;;;;;;;;;;;;;;;;;6;;;;;;;19;;;;SULFOXIDECHLOROPROPYLOCTYL
2796;TABUN;PHOSPHORAMIDOCYANIDIC ACID, DIMETHYL-, ETHYL ESTER;             77-81-6;2810;;;;;;;;;;F2;;;;R1;;3;;;6;;;;;17;;19;;;;TABUN
2801;TERBUFOS;PHOSPHORODITHIOIC ACID, S-[[(1,1-DIMETHYLETHYL) THIO] METHYL] O,O-DIETHYL ESTER;          13071-79-9;3018;;;;;;;;;;F2;;;;;2;3;;;6;;;;;17;;19;;;;TERBUFOS
2803;TETRAETHYLTIN;STANNANE, TETRAETHYL-;            597-64-8;2788;;;1;;;;;;;F2;;;;;2;3;4;;6;;;;;17;;19;;;;TETRAETHYLTIN
2805;TETRAPROPYLORTHOTITANATE;1-PROPANOL, TITANIUM(4+) SALT;           3087-37-4;2413;;;;;;;;;;F2;;;;;;3;;;;;;;;17;;;;;;TETRAPROPYLORTHOTITANATE
2807;THALLIC OXIDE;THALLIUM OXIDE (TI2O3);           1314-32-5;1707;;;1;;;;;;;;;;;R1;2;3;4;;6;;8;;;17;18;;20;21;;THALLICOXIDE
2808;THALLIUM CHLORATE;CHLORIC ACID, THALLIUM (1+) SALT;          13453-30-0;2573;;;1;;;;;;;;;;;;2;3;4;;6;;;;;17;18;;20;;;THALLIUMCHLORATE
2809;THALLIUM COMPOUNDS;;;1707;;;1;;;;;;;;;;;;2;3;4;;6;;;;;17;18;;20;;;THALLIUMCOMPOUNDS
2811;THALLOUS CARBONATE;CARBONIC ACID, DITHALLIUM (1+) SALT;           6533-73-9;1707;;;1;;;;;;;;;;;;2;3;4;;6;;8;;;17;18;19;20;21;;THALLOUSCARBONATE
2812;THALLOUS CHLORIDE;THALLIUM CHLORIDE (TICl);           7791-12-0;1707;;;1;;;;;;;;;;;;2;3;4;;6;;8;;;17;18;19;20;21;;THALLOUSCHLORIDE
2813;THALLOUS MALONATE;PROPANEDIOIC ACID, DITHALLIUM SALT;           2757-18-8;1707;;;1;;;;;;;;;;;;2;3;4;;6;;;;;17;;19;;;;THALLOUSMALONATE
2816;2,2'-THIOBIS(4-CHLORO-6-METHYL)PHENOL;PHENOL, 2,2'-THIOBIS[4-CHLORO-6-METHYL-;           4418-66-0;2021;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;THIOBISCHLOROMETHYLPHENOL
